id,brand,model,year,miles,city_mileage,highway_mileage,horsepower,torque,engine_capacity_litre
3,Chevrolet,Volt LT,2019,27173,43,42,149,294,1.5
6,Hyundai,Elantra SE,2017,76941,29,38,146,132,2
7,Ford,Focus,2014,97027,27,37,159,146,2
8,Honda,Civic,2016,95396,31,42,158,138,1.5
9,Hyundai,Elantra SE,2019,28405,29,38,147,132,2
11,Honda,Civic,2016,61459,31,41,158,138,2
12,Subaru,Legacy,2022,6811,27,35,182,176,2.5
13,Honda,Clarity,2018,29674,44,40,212,99,1.5
14,Volkswagen,Jetta,2019,25044,30,40,147,184,1.4
15,Volkswagen,Jetta,2017,26215,28,38,150,184,1.4
16,Honda,Civic,2015,25939,29,37,143,129,1.8
17,Honda,Civic,2019,32270,32,42,174,162,1.5
18,Honda,Civic,2018,19950,31,40,158,138,2
19,Honda,Accord,2020,19719,30,38,192,192,1.5
20,Honda,Civic,2020,16076,32,42,174,162,1.5
21,Subaru,Impreza,2019,28214,28,38,152,145,2
22,Honda,Accord,2020,12395,30,38,192,192,1.5
23,Honda,Civic,2019,33322,30,38,158,138,2
24,Honda,Insight,2019,56233,55,49,151,99,1.5
25,Volkswagen,Jetta,2019,24250,30,40,147,184,1.4
26,Ford,Taurus,2019,38097,17,24,288,254,3.5
27,Ford,Fusion,2020,35743,20,29,245,275,2
28,Chevrolet,Malibu,2019,32946,29,36,160,184,1.5
29,Volkswagen,Passat,2018,26905,25,36,174,184,2
30,Volkswagen,Passat,2017,66329,23,34,170,184,1.8
31,Volkswagen,Passat,2020,27457,23,34,174,206,2
32,Honda,Accord,2020,12395,30,38,192,192,1.5
33,Honda,Civic,2019,41799,30,38,158,138,2
34,Hyundai,Sonata,2019,26910,25,33,185,178,2.4
35,Honda,Civic,2018,16581,31,40,158,138,2
36,Hyundai,Sonata,2019,9736,25,33,185,178,2.4
37,Honda,Civic,2017,7743,31,40,158,138,2
38,Subaru,Impreza,2019,44371,28,38,152,145,2
39,Volkswagen,Jetta,2020,12944,25,32,228,258,2
40,Volkswagen,Jetta,2019,5000,30,40,147,184,1.4
41,Honda,Civic,2019,41799,30,38,158,138,2
42,Chevrolet,Malibu,2018,13726,22,32,250,260,2
43,Volkswagen,Jetta,2019,18898,30,40,158,184,1.4
44,Honda,Accord,2018,51279,30,38,192,192,1.5
45,Ford,Fusion,2020,36506,21,31,245,275,2
46,Honda,Accord,2018,58126,30,38,192,192,1.5
47,Honda,Civic,2019,27440,32,42,174,162,1.5
48,Honda,Accord,2020,59090,30,38,192,192,1.5
49,Honda,Civic,2019,47715,30,38,158,138,2
50,Volkswagen,Passat,2020,9495,23,34,174,206,2
51,Volkswagen,Jetta,2019,13721,30,40,147,184,1.4
52,Honda,Civic,2018,72827,31,40,158,138,2
53,Hyundai,Sonata,2019,33412,23,32,245,260,2
54,Hyundai,Elantra SE,2020,13830,30,40,147,132,2
55,Ford,Fusion,2019,23507,20,29,245,275,2
56,Hyundai,Elantra SE,2020,11296,30,40,147,132,2
57,Honda,Accord,2018,82729,30,38,192,192,1.5
